trait,blue,GID
DAYSMT,149.5223937,GID304660
DAYSMT,147.7759227,GID3872194
DAYSMT,149.4987135,GID4754390
DAYSMT,151.4397833,GID4755014
DAYSMT,145.2598289,GID5398434
DAYSMT,152.3242966,GID5398530
DAYSMT,147.8668497,GID6175067
DAYSMT,148.6736043,GID6332122
DAYSMT,152.6113759,GID6333158
DAYSMT,149.9651073,GID6341870
DAYSMT,146.5268243,GID6415882
DAYSMT,152.4234544,GID7045243
DAYSMT,151.7823433,GID7046099
DAYSMT,153.593892,GID7046102
DAYSMT,147.469131,GID7046872
DAYSMT,149.2109356,GID7047125
DAYSMT,149.8643816,GID7047155
DAYSMT,151.5688247,GID7047177
DAYSMT,151.593892,GID7171172
DAYSMT,152.2757908,GID7173521
DAYSMT,149.7039859,GID7173803
DAYSMT,149.4850863,GID7173851
DAYSMT,149.8643816,GID7174031
DAYSMT,151.9365767,GID7174115
DAYSMT,150.142164,GID7174116
DAYSMT,152.7598289,GID7174267
DAYSMT,149.7676025,GID7174312
DAYSMT,152.2876878,GID7174319
DAYSMT,152.4577214,GID7174330
DAYSMT,151.5162606,GID7174332
DAYSMT,152.6461726,GID7174396
DAYSMT,151.4340665,GID7174418
DAYSMT,150.8909224,GID7174421
DAYSMT,149.6683146,GID7174520
DAYSMT,152.9274947,GID7174523
DAYSMT,150.6560675,GID7174524
DAYSMT,150.0738734,GID7174530
DAYSMT,147.4057886,GID7174534
DAYSMT,149.6150841,GID7174537
DAYSMT,151.5169346,GID7174540
DAYSMT,148.5991287,GID7174702
DAYSMT,150.9471093,GID7175837
DAYSMT,146.2088284,GID7176353
DAYSMT,152.7088284,GID7176616
DAYSMT,153.0954675,GID7176626
DAYSMT,149.7489135,GID7176751
DAYSMT,152.4936271,GID7176774
DAYSMT,152.1112921,GID7177031
DAYSMT,152.3859589,GID7177041
DAYSMT,148.0465109,GID7177105
DAYSMT,152.1563888,GID7177375
DAYSMT,151.2331774,GID7177376
DAYSMT,150.6360082,GID7177390
DAYSMT,150.6360082,GID7177433
DAYSMT,147.8650143,GID7177664
DAYSMT,152.2668649,GID7177666
DAYSMT,153.6557188,GID7177669
DAYSMT,152.6557188,GID7177673
DAYSMT,148.8104975,GID7177875
DAYSMT,146.3872861,GID7177969
DAYSMT,149.3171608,GID7178454
DAYSMT,151.1433341,GID7178457
DAYSMT,151.6637147,GID7178542
DAYSMT,148.4973354,GID7178769
DAYSMT,148.3613061,GID7213309
DAYSMT,153.1183223,GID7310203
DAYSMT,148.5998171,GID7310216
DAYSMT,149.976287,GID7310251
DAYSMT,147.1931037,GID7310279
DAYSMT,151.1278614,GID7310280
DAYSMT,149.8645184,GID7310282
DAYSMT,152.0517671,GID7310284
DAYSMT,148.9142519,GID7310290
DAYSMT,148.0517671,GID7310307
DAYSMT,150.9394798,GID7310407
DAYSMT,150.0186127,GID7310414
DAYSMT,151.5310806,GID7310415
DAYSMT,149.753223,GID7310423
DAYSMT,152.7597342,GID7310428
DAYSMT,151.7055796,GID7310430
DAYSMT,149.040957,GID7310511
DAYSMT,150.3407483,GID7310601
DAYSMT,148.540957,GID7310606
DAYSMT,150.0002469,GID7310617
DAYSMT,147.5509599,GID7310628
DAYSMT,149.494604,GID7310629
DAYSMT,148.8416611,GID7310635
DAYSMT,150.6004554,GID7310700
DAYSMT,149.1116753,GID7310704
DAYSMT,148.5325424,GID7310720
DAYSMT,147.3084933,GID7310723
DAYSMT,146.0201805,GID7310770
DAYSMT,145.0815225,GID7310771
DAYSMT,145.2426408,GID7310775
DAYSMT,148.6489728,GID7310785
DAYSMT,153.4528674,GID7310788
DAYSMT,153.7163755,GID7310789
DAYSMT,152.2477381,GID7310794
DAYSMT,152.5509201,GID7310795
DAYSMT,145.5183842,GID7310797
DAYSMT,153.0355609,GID7310799
DAYSMT,147.2264221,GID7310804
DAYSMT,147.7357697,GID7310807
DAYSMT,148.9879174,GID7310835
DAYSMT,148.5619308,GID7310862
DAYSMT,150.0619308,GID7310893
DAYSMT,145.3361911,GID7310894
DAYSMT,149.5513803,GID7310902
DAYSMT,151.4637292,GID7310905
DAYSMT,151.3569439,GID7310906
DAYSMT,149.876144,GID7310918
DAYSMT,150.7827421,GID7310946
DAYSMT,150.2905124,GID7310981
DAYSMT,150.5249712,GID7311017
DAYSMT,145.5901199,GID7311040
DAYSMT,144.5901199,GID7311059
DAYSMT,153.4787928,GID7311077
DAYSMT,146.9732288,GID7311105
DAYSMT,148.5507342,GID7311132
DAYSMT,145.6954734,GID7311134
