trait,trial,H2,vG,vE
DL_mean,SABWGPYT01,0.61,34.94,44.5
DL_mean,SABWGPYT02,0.62,43,51.94
DL_mean,SABWGPYT03,0.69,71.65,65.61
DL_mean,SABWGPYT04,0.79,36.4,19.17
DL_mean,SABWGPYT05,0.85,91.76,33.62
DL_mean,SABWGPYT06,0.8,25.5,13.04
DL_mean,SABWGPYT07,0.77,63.02,37.87
DL_mean,SABWGPYT08,0.56,51.97,81.42
DL_mean,SABWGPYT09,0.8,35.01,17.63
DL_mean,SABWGPYT10,0.78,98.81,56.69
DL_mean,SABWGPYT11,0.79,132.62,68.48
DL_mixLI,SABWGPYT01,0.5,40.84,80.41
DL_mixLI,SABWGPYT02,0.45,32.14,78.02
DL_mixLI,SABWGPYT03,0.69,74.04,66.23
DL_mixLI,SABWGPYT04,0.72,44.2,34.1
DL_mixLI,SABWGPYT05,0.83,79.48,31.6
DL_mixLI,SABWGPYT06,0.68,23.14,21.29
DL_mixLI,SABWGPYT07,0.74,51.99,37.47
DL_mixLI,SABWGPYT08,0.62,64.69,78.87
DL_mixLI,SABWGPYT09,0.52,19.42,35.51
DL_mixLI,SABWGPYT10,0.69,87.22,77.49
DL_mixLI,SABWGPYT11,0.78,132.4,74.23
LOI,SABWGPYT01,0.55,177.19,288.56
LOI,SABWGPYT02,0.67,280.1,271.13
LOI,SABWGPYT03,0.72,425.09,326.94
LOI,SABWGPYT04,0.55,161.72,261.55
LOI,SABWGPYT05,0.63,332.47,396.49
LOI,SABWGPYT06,0.75,171,113.38
LOI,SABWGPYT07,0.76,517.38,328.92
LOI,SABWGPYT08,0.46,169.42,390.14
LOI,SABWGPYT09,0.71,196.75,162.43
LOI,SABWGPYT10,0.7,481.24,414.32
LOI,SABWGPYT11,0.87,627.31,183.55
LOS,SABWGPYT01,0.36,1.84,6.68
LOS,SABWGPYT02,0.45,2.79,6.77
LOS,SABWGPYT03,0.79,6.13,3.31
LOS,SABWGPYT04,0.54,3.51,6.07
LOS,SABWGPYT05,0.59,3.4,4.75
LOS,SABWGPYT06,0.59,2.87,3.91
LOS,SABWGPYT07,0.71,6.61,5.32
LOS,SABWGPYT08,0.44,1.45,3.69
LOS,SABWGPYT09,0.66,2.43,2.52
LOS,SABWGPYT10,0.66,4.73,4.86
LOS,SABWGPYT11,0.86,6.27,2
PH,SABWGPYT01,0.78,17.76,10.1
PH,SABWGPYT02,0.55,6.09,9.94
PH,SABWGPYT03,0.65,11.55,12.24
PH,SABWGPYT04,0.45,5.55,13.34
PH,SABWGPYT05,0.77,19.58,11.75
PH,SABWGPYT06,0.74,17.67,12.72
PH,SABWGPYT07,0.85,27.15,9.92
PH,SABWGPYT08,0.7,17.67,15.17
PH,SABWGPYT09,0.8,16.72,8.55
PH,SABWGPYT10,0.62,7.64,9.23
PH,SABWGPYT11,0.7,14.14,11.94
